subscriber_id,tier,acquisition_segment,engagement_segment,monetization_segment,composite_key
SUB000001,ad_supported,habitual_streamers,ad_tolerant_upgraders,value_perception_buyers,habitual_streamers|ad_tolerant_upgraders|value_perception_buyers
SUB000002,ad_free,habitual_streamers,tvod_inclined_buyers,platform_bundled_acquirers,habitual_streamers|tvod_inclined_buyers|platform_bundled_acquirers
SUB000003,ad_free,at_risk_lapsers,ad_free_loyalists,deal_responsive_acquirers,at_risk_lapsers|ad_free_loyalists|deal_responsive_acquirers
SUB000004,ad_supported,dormant_subscribers,ad_free_loyalists,platform_bundled_acquirers,dormant_subscribers|ad_free_loyalists|platform_bundled_acquirers
SUB000005,ad_free,habitual_streamers,tvod_inclined_buyers,tvod_to_svod_converters,habitual_streamers|tvod_inclined_buyers|tvod_to_svod_converters
SUB000006,ad_supported,dormant_subscribers,ad_free_loyalists,deal_responsive_acquirers,dormant_subscribers|ad_free_loyalists|deal_responsive_acquirers
SUB000007,ad_free,dormant_subscribers,tvod_inclined_buyers,content_triggered_buyers,dormant_subscribers|tvod_inclined_buyers|content_triggered_buyers
SUB000008,ad_supported,content_anchored_viewers,ad_value_seekers,value_perception_buyers,content_anchored_viewers|ad_value_seekers|value_perception_buyers
SUB000009,ad_supported,at_risk_lapsers,price_triggered_downgraders,value_perception_buyers,at_risk_lapsers|price_triggered_downgraders|value_perception_buyers
SUB000010,ad_supported,promo_only_users,ad_free_loyalists,platform_bundled_acquirers,promo_only_users|ad_free_loyalists|platform_bundled_acquirers
SUB000011,ad_supported,at_risk_lapsers,tvod_inclined_buyers,tvod_to_svod_converters,at_risk_lapsers|tvod_inclined_buyers|tvod_to_svod_converters
SUB000012,annual,habitual_streamers,ad_free_loyalists,platform_bundled_acquirers,habitual_streamers|ad_free_loyalists|platform_bundled_acquirers
SUB000013,ad_free,content_anchored_viewers,ad_tolerant_upgraders,value_perception_buyers,content_anchored_viewers|ad_tolerant_upgraders|value_perception_buyers
SUB000014,ad_supported,content_anchored_viewers,ad_free_loyalists,deal_responsive_acquirers,content_anchored_viewers|ad_free_loyalists|deal_responsive_acquirers
SUB000015,ad_supported,dormant_subscribers,price_triggered_downgraders,content_triggered_buyers,dormant_subscribers|price_triggered_downgraders|content_triggered_buyers
SUB000016,ad_free,promo_only_users,price_triggered_downgraders,deal_responsive_acquirers,promo_only_users|price_triggered_downgraders|deal_responsive_acquirers
SUB000017,annual,content_anchored_viewers,ad_free_loyalists,content_triggered_buyers,content_anchored_viewers|ad_free_loyalists|content_triggered_buyers
SUB000018,ad_free,promo_only_users,price_triggered_downgraders,platform_bundled_acquirers,promo_only_users|price_triggered_downgraders|platform_bundled_acquirers
SUB000019,ad_free,promo_only_users,ad_value_seekers,value_perception_buyers,promo_only_users|ad_value_seekers|value_perception_buyers
SUB000020,ad_free,habitual_streamers,ad_value_seekers,tvod_to_svod_converters,habitual_streamers|ad_value_seekers|tvod_to_svod_converters
SUB000021,ad_free,habitual_streamers,tvod_inclined_buyers,platform_bundled_acquirers,habitual_streamers|tvod_inclined_buyers|platform_bundled_acquirers
SUB000022,ad_free,promo_only_users,tvod_inclined_buyers,tvod_to_svod_converters,promo_only_users|tvod_inclined_buyers|tvod_to_svod_converters
SUB000023,annual,content_anchored_viewers,tvod_inclined_buyers,tvod_to_svod_converters,content_anchored_viewers|tvod_inclined_buyers|tvod_to_svod_converters
SUB000024,annual,habitual_streamers,tvod_inclined_buyers,content_triggered_buyers,habitual_streamers|tvod_inclined_buyers|content_triggered_buyers
SUB000025,ad_free,dormant_subscribers,ad_value_seekers,value_perception_buyers,dormant_subscribers|ad_value_seekers|value_perception_buyers
SUB000026,ad_supported,promo_only_users,ad_value_seekers,platform_bundled_acquirers,promo_only_users|ad_value_seekers|platform_bundled_acquirers
SUB000027,annual,habitual_streamers,ad_value_seekers,value_perception_buyers,habitual_streamers|ad_value_seekers|value_perception_buyers
SUB000028,ad_free,content_anchored_viewers,price_triggered_downgraders,value_perception_buyers,content_anchored_viewers|price_triggered_downgraders|value_perception_buyers
SUB000029,ad_free,dormant_subscribers,ad_free_loyalists,platform_bundled_acquirers,dormant_subscribers|ad_free_loyalists|platform_bundled_acquirers
SUB000030,ad_supported,at_risk_lapsers,ad_value_seekers,tvod_to_svod_converters,at_risk_lapsers|ad_value_seekers|tvod_to_svod_converters
SUB000031,ad_supported,dormant_subscribers,price_triggered_downgraders,content_triggered_buyers,dormant_subscribers|price_triggered_downgraders|content_triggered_buyers
SUB000032,annual,at_risk_lapsers,ad_tolerant_upgraders,value_perception_buyers,at_risk_lapsers|ad_tolerant_upgraders|value_perception_buyers
SUB000033,ad_supported,dormant_subscribers,price_triggered_downgraders,content_triggered_buyers,dormant_subscribers|price_triggered_downgraders|content_triggered_buyers
SUB000034,ad_free,content_anchored_viewers,tvod_inclined_buyers,tvod_to_svod_converters,content_anchored_viewers|tvod_inclined_buyers|tvod_to_svod_converters
SUB000035,ad_free,content_anchored_viewers,tvod_inclined_buyers,tvod_to_svod_converters,content_anchored_viewers|tvod_inclined_buyers|tvod_to_svod_converters
SUB000036,ad_supported,dormant_subscribers,ad_free_loyalists,deal_responsive_acquirers,dormant_subscribers|ad_free_loyalists|deal_responsive_acquirers
SUB000037,ad_supported,content_anchored_viewers,ad_free_loyalists,tvod_to_svod_converters,content_anchored_viewers|ad_free_loyalists|tvod_to_svod_converters
SUB000038,ad_supported,habitual_streamers,tvod_inclined_buyers,content_triggered_buyers,habitual_streamers|tvod_inclined_buyers|content_triggered_buyers
SUB000039,ad_free,at_risk_lapsers,price_triggered_downgraders,value_perception_buyers,at_risk_lapsers|price_triggered_downgraders|value_perception_buyers
SUB000040,ad_free,content_anchored_viewers,ad_free_loyalists,platform_bundled_acquirers,content_anchored_viewers|ad_free_loyalists|platform_bundled_acquirers
SUB000041,ad_supported,content_anchored_viewers,ad_free_loyalists,tvod_to_svod_converters,content_anchored_viewers|ad_free_loyalists|tvod_to_svod_converters
SUB000042,ad_supported,dormant_subscribers,ad_tolerant_upgraders,value_perception_buyers,dormant_subscribers|ad_tolerant_upgraders|value_perception_buyers
SUB000043,annual,habitual_streamers,tvod_inclined_buyers,platform_bundled_acquirers,habitual_streamers|tvod_inclined_buyers|platform_bundled_acquirers
SUB000044,annual,at_risk_lapsers,tvod_inclined_buyers,deal_responsive_acquirers,at_risk_lapsers|tvod_inclined_buyers|deal_responsive_acquirers
SUB000045,ad_free,dormant_subscribers,price_triggered_downgraders,deal_responsive_acquirers,dormant_subscribers|price_triggered_downgraders|deal_responsive_acquirers
SUB000046,ad_free,promo_only_users,tvod_inclined_buyers,value_perception_buyers,promo_only_users|tvod_inclined_buyers|value_perception_buyers
SUB000047,ad_free,habitual_streamers,tvod_inclined_buyers,content_triggered_buyers,habitual_streamers|tvod_inclined_buyers|content_triggered_buyers
SUB000048,ad_free,promo_only_users,ad_value_seekers,tvod_to_svod_converters,promo_only_users|ad_value_seekers|tvod_to_svod_converters
SUB000049,ad_free,promo_only_users,tvod_inclined_buyers,tvod_to_svod_converters,promo_only_users|tvod_inclined_buyers|tvod_to_svod_converters
SUB000050,ad_free,habitual_streamers,price_triggered_downgraders,platform_bundled_acquirers,habitual_streamers|price_triggered_downgraders|platform_bundled_acquirers
SUB000051,annual,dormant_subscribers,price_triggered_downgraders,deal_responsive_acquirers,dormant_subscribers|price_triggered_downgraders|deal_responsive_acquirers
SUB000052,ad_supported,dormant_subscribers,price_triggered_downgraders,value_perception_buyers,dormant_subscribers|price_triggered_downgraders|value_perception_buyers
SUB000053,ad_supported,dormant_subscribers,ad_free_loyalists,tvod_to_svod_converters,dormant_subscribers|ad_free_loyalists|tvod_to_svod_converters
SUB000054,ad_free,content_anchored_viewers,ad_tolerant_upgraders,deal_responsive_acquirers,content_anchored_viewers|ad_tolerant_upgraders|deal_responsive_acquirers
SUB000055,ad_free,dormant_subscribers,price_triggered_downgraders,deal_responsive_acquirers,dormant_subscribers|price_triggered_downgraders|deal_responsive_acquirers
SUB000056,ad_free,dormant_subscribers,price_triggered_downgraders,deal_responsive_acquirers,dormant_subscribers|price_triggered_downgraders|deal_responsive_acquirers
SUB000057,annual,at_risk_lapsers,ad_tolerant_upgraders,platform_bundled_acquirers,at_risk_lapsers|ad_tolerant_upgraders|platform_bundled_acquirers
SUB000058,annual,habitual_streamers,ad_value_seekers,platform_bundled_acquirers,habitual_streamers|ad_value_seekers|platform_bundled_acquirers
SUB000059,ad_free,dormant_subscribers,ad_tolerant_upgraders,platform_bundled_acquirers,dormant_subscribers|ad_tolerant_upgraders|platform_bundled_acquirers
SUB000060,ad_free,at_risk_lapsers,ad_value_seekers,content_triggered_buyers,at_risk_lapsers|ad_value_seekers|content_triggered_buyers
SUB000061,ad_supported,content_anchored_viewers,ad_free_loyalists,content_triggered_buyers,content_anchored_viewers|ad_free_loyalists|content_triggered_buyers
SUB000062,annual,promo_only_users,ad_value_seekers,tvod_to_svod_converters,promo_only_users|ad_value_seekers|tvod_to_svod_converters
SUB000063,annual,dormant_subscribers,tvod_inclined_buyers,platform_bundled_acquirers,dormant_subscribers|tvod_inclined_buyers|platform_bundled_acquirers
SUB000064,ad_supported,habitual_streamers,ad_free_loyalists,value_perception_buyers,habitual_streamers|ad_free_loyalists|value_perception_buyers
SUB000065,annual,dormant_subscribers,ad_value_seekers,value_perception_buyers,dormant_subscribers|ad_value_seekers|value_perception_buyers
SUB000066,annual,promo_only_users,tvod_inclined_buyers,tvod_to_svod_converters,promo_only_users|tvod_inclined_buyers|tvod_to_svod_converters
SUB000067,ad_supported,content_anchored_viewers,ad_tolerant_upgraders,content_triggered_buyers,content_anchored_viewers|ad_tolerant_upgraders|content_triggered_buyers
SUB000068,ad_supported,dormant_subscribers,ad_value_seekers,deal_responsive_acquirers,dormant_subscribers|ad_value_seekers|deal_responsive_acquirers
SUB000069,annual,habitual_streamers,price_triggered_downgraders,platform_bundled_acquirers,habitual_streamers|price_triggered_downgraders|platform_bundled_acquirers
SUB000070,ad_supported,dormant_subscribers,ad_tolerant_upgraders,content_triggered_buyers,dormant_subscribers|ad_tolerant_upgraders|content_triggered_buyers
SUB000071,ad_free,dormant_subscribers,price_triggered_downgraders,tvod_to_svod_converters,dormant_subscribers|price_triggered_downgraders|tvod_to_svod_converters
SUB000072,annual,content_anchored_viewers,tvod_inclined_buyers,content_triggered_buyers,content_anchored_viewers|tvod_inclined_buyers|content_triggered_buyers
SUB000073,ad_free,habitual_streamers,ad_tolerant_upgraders,platform_bundled_acquirers,habitual_streamers|ad_tolerant_upgraders|platform_bundled_acquirers
SUB000074,ad_supported,content_anchored_viewers,tvod_inclined_buyers,value_perception_buyers,content_anchored_viewers|tvod_inclined_buyers|value_perception_buyers
SUB000075,ad_free,content_anchored_viewers,ad_free_loyalists,platform_bundled_acquirers,content_anchored_viewers|ad_free_loyalists|platform_bundled_acquirers
SUB000076,ad_free,content_anchored_viewers,ad_free_loyalists,deal_responsive_acquirers,content_anchored_viewers|ad_free_loyalists|deal_responsive_acquirers
SUB000077,ad_free,promo_only_users,ad_free_loyalists,tvod_to_svod_converters,promo_only_users|ad_free_loyalists|tvod_to_svod_converters
SUB000078,ad_supported,content_anchored_viewers,tvod_inclined_buyers,tvod_to_svod_converters,content_anchored_viewers|tvod_inclined_buyers|tvod_to_svod_converters
SUB000079,annual,content_anchored_viewers,ad_value_seekers,tvod_to_svod_converters,content_anchored_viewers|ad_value_seekers|tvod_to_svod_converters
SUB000080,ad_supported,promo_only_users,ad_free_loyalists,content_triggered_buyers,promo_only_users|ad_free_loyalists|content_triggered_buyers
SUB000081,ad_free,at_risk_lapsers,ad_value_seekers,deal_responsive_acquirers,at_risk_lapsers|ad_value_seekers|deal_responsive_acquirers
SUB000082,annual,promo_only_users,ad_value_seekers,tvod_to_svod_converters,promo_only_users|ad_value_seekers|tvod_to_svod_converters
SUB000083,ad_free,promo_only_users,ad_value_seekers,tvod_to_svod_converters,promo_only_users|ad_value_seekers|tvod_to_svod_converters
SUB000084,ad_supported,content_anchored_viewers,price_triggered_downgraders,value_perception_buyers,content_anchored_viewers|price_triggered_downgraders|value_perception_buyers
SUB000085,annual,promo_only_users,ad_free_loyalists,tvod_to_svod_converters,promo_only_users|ad_free_loyalists|tvod_to_svod_converters
SUB000086,ad_free,dormant_subscribers,ad_value_seekers,platform_bundled_acquirers,dormant_subscribers|ad_value_seekers|platform_bundled_acquirers
SUB000087,ad_free,promo_only_users,ad_free_loyalists,tvod_to_svod_converters,promo_only_users|ad_free_loyalists|tvod_to_svod_converters
SUB000088,ad_supported,dormant_subscribers,ad_tolerant_upgraders,tvod_to_svod_converters,dormant_subscribers|ad_tolerant_upgraders|tvod_to_svod_converters
SUB000089,ad_supported,content_anchored_viewers,ad_free_loyalists,content_triggered_buyers,content_anchored_viewers|ad_free_loyalists|content_triggered_buyers
