composite_key,tier,subscriber_count,avg_churn_rate,avg_arpu,avg_watch_hours,avg_cac
habitual_streamers|ad_value_seekers|platform_bundled_acquirers,ad_supported,552,0.198,5.49,28.3,6.54
habitual_streamers|ad_value_seekers|tvod_to_svod_converters,ad_supported,262,0.1778,4.94,28.9,6.62
habitual_streamers|ad_value_seekers|content_triggered_buyers,ad_supported,205,0.172,4.67,28.6,6.46
habitual_streamers|ad_value_seekers|deal_responsive_acquirers,ad_supported,300,0.1924,5.11,27.4,5.89
habitual_streamers|ad_value_seekers|value_perception_buyers,ad_supported,237,0.1729,4.94,26.6,5.21
habitual_streamers|ad_tolerant_upgraders|platform_bundled_acquirers,ad_supported,265,0.1325,4.72,43.2,5.6
habitual_streamers|ad_tolerant_upgraders|tvod_to_svod_converters,ad_supported,159,0.1393,6.04,47.9,5.5
habitual_streamers|ad_tolerant_upgraders|content_triggered_buyers,ad_supported,168,0.1318,5.93,45.2,6.7
habitual_streamers|ad_tolerant_upgraders|deal_responsive_acquirers,ad_supported,169,0.1302,6.04,49.4,5.8
habitual_streamers|ad_tolerant_upgraders|value_perception_buyers,ad_supported,269,0.1381,6.26,49.8,6.28
habitual_streamers|ad_free_loyalists|platform_bundled_acquirers,ad_supported,358,0.0893,6.15,102.1,6.0
habitual_streamers|ad_free_loyalists|tvod_to_svod_converters,ad_supported,220,0.0855,4.83,104.4,6.25
habitual_streamers|ad_free_loyalists|content_triggered_buyers,ad_supported,243,0.0878,5.93,96.1,5.73
habitual_streamers|ad_free_loyalists|deal_responsive_acquirers,ad_supported,227,0.0874,6.09,102.2,5.31
habitual_streamers|ad_free_loyalists|value_perception_buyers,ad_supported,204,0.0858,5.98,104.6,5.42
habitual_streamers|price_triggered_downgraders|platform_bundled_acquirers,ad_supported,122,0.1819,5.05,31.6,6.21
habitual_streamers|price_triggered_downgraders|tvod_to_svod_converters,ad_supported,96,0.1645,5.98,31.3,6.39
habitual_streamers|price_triggered_downgraders|content_triggered_buyers,ad_supported,127,0.1584,5.60,28.8,5.9
habitual_streamers|price_triggered_downgraders|deal_responsive_acquirers,ad_supported,125,0.1712,5.16,30.6,5.69
habitual_streamers|price_triggered_downgraders|value_perception_buyers,ad_supported,130,0.1666,5.65,30.0,5.23
habitual_streamers|tvod_inclined_buyers|platform_bundled_acquirers,ad_supported,146,0.1198,5.11,56.8,5.33
habitual_streamers|tvod_inclined_buyers|tvod_to_svod_converters,ad_supported,157,0.1156,5.54,51.3,6.6
habitual_streamers|tvod_inclined_buyers|content_triggered_buyers,ad_supported,140,0.1201,5.49,51.9,6.07
habitual_streamers|tvod_inclined_buyers|deal_responsive_acquirers,ad_supported,200,0.1137,4.72,54.8,5.18
habitual_streamers|tvod_inclined_buyers|value_perception_buyers,ad_supported,162,0.1212,5.98,52.3,5.47
content_anchored_viewers|ad_value_seekers|platform_bundled_acquirers,ad_supported,243,0.1891,4.89,26.9,9.36
content_anchored_viewers|ad_value_seekers|tvod_to_svod_converters,ad_supported,156,0.1873,5.76,26.0,8.73
content_anchored_viewers|ad_value_seekers|content_triggered_buyers,ad_supported,193,0.1764,6.04,27.9,8.45
content_anchored_viewers|ad_value_seekers|deal_responsive_acquirers,ad_supported,156,0.1906,5.98,26.0,10.29
content_anchored_viewers|ad_value_seekers|value_perception_buyers,ad_supported,173,0.1814,5.87,25.8,9.57
content_anchored_viewers|ad_tolerant_upgraders|platform_bundled_acquirers,ad_supported,152,0.1383,5.22,47.1,7.9
content_anchored_viewers|ad_tolerant_upgraders|tvod_to_svod_converters,ad_supported,100,0.1371,5.49,44.2,7.89
content_anchored_viewers|ad_tolerant_upgraders|content_triggered_buyers,ad_supported,111,0.129,4.67,41.0,7.7
content_anchored_viewers|ad_tolerant_upgraders|deal_responsive_acquirers,ad_supported,170,0.1402,6.15,49.1,10.08
content_anchored_viewers|ad_tolerant_upgraders|value_perception_buyers,ad_supported,162,0.1266,5.05,47.3,9.96
content_anchored_viewers|ad_free_loyalists|platform_bundled_acquirers,ad_supported,167,0.0883,5.44,93.8,8.37
content_anchored_viewers|ad_free_loyalists|tvod_to_svod_converters,ad_supported,176,0.0844,5.27,103.5,10.19
content_anchored_viewers|ad_free_loyalists|content_triggered_buyers,ad_supported,178,0.0904,5.00,103.7,8.13
content_anchored_viewers|ad_free_loyalists|deal_responsive_acquirers,ad_supported,259,0.0899,5.54,104.1,8.38
content_anchored_viewers|ad_free_loyalists|value_perception_buyers,ad_supported,154,0.0859,4.67,108.0,10.25
content_anchored_viewers|price_triggered_downgraders|platform_bundled_acquirers,ad_supported,141,0.1664,5.93,32.0,9.22
content_anchored_viewers|price_triggered_downgraders|tvod_to_svod_converters,ad_supported,99,0.1658,5.49,30.6,8.28
content_anchored_viewers|price_triggered_downgraders|content_triggered_buyers,ad_supported,104,0.1791,6.04,33.7,9.61
content_anchored_viewers|price_triggered_downgraders|deal_responsive_acquirers,ad_supported,135,0.1666,5.22,29.5,8.63
content_anchored_viewers|price_triggered_downgraders|value_perception_buyers,ad_supported,107,0.1688,4.67,29.9,10.22
content_anchored_viewers|tvod_inclined_buyers|platform_bundled_acquirers,ad_supported,198,0.1153,4.72,53.5,9.34
content_anchored_viewers|tvod_inclined_buyers|tvod_to_svod_converters,ad_supported,75,0.1118,6.15,56.0,9.61
content_anchored_viewers|tvod_inclined_buyers|content_triggered_buyers,ad_supported,98,0.1175,4.72,59.1,8.75
content_anchored_viewers|tvod_inclined_buyers|deal_responsive_acquirers,ad_supported,163,0.1173,4.67,50.6,8.09
content_anchored_viewers|tvod_inclined_buyers|value_perception_buyers,ad_supported,119,0.1118,5.87,57.3,8.78
at_risk_lapsers|ad_value_seekers|platform_bundled_acquirers,ad_supported,162,0.1784,5.76,29.2,19.37
at_risk_lapsers|ad_value_seekers|tvod_to_svod_converters,ad_supported,108,0.1815,6.15,30.3,15.59
at_risk_lapsers|ad_value_seekers|content_triggered_buyers,ad_supported,143,0.1885,5.00,30.0,17.38
at_risk_lapsers|ad_value_seekers|deal_responsive_acquirers,ad_supported,142,0.1859,5.87,26.5,20.06
at_risk_lapsers|ad_value_seekers|value_perception_buyers,ad_supported,92,0.1754,5.82,29.9,17.99
at_risk_lapsers|ad_tolerant_upgraders|platform_bundled_acquirers,ad_supported,169,0.1251,6.26,49.9,15.49
at_risk_lapsers|ad_tolerant_upgraders|tvod_to_svod_converters,ad_supported,104,0.1274,6.15,41.9,15.78
at_risk_lapsers|ad_tolerant_upgraders|content_triggered_buyers,ad_supported,125,0.125,5.38,48.2,16.89
at_risk_lapsers|ad_tolerant_upgraders|deal_responsive_acquirers,ad_supported,116,0.1407,4.83,49.0,15.34
at_risk_lapsers|ad_tolerant_upgraders|value_perception_buyers,ad_supported,122,0.1402,5.87,41.9,20.23
at_risk_lapsers|ad_free_loyalists|platform_bundled_acquirers,ad_supported,195,0.0895,5.82,108.4,17.21
at_risk_lapsers|ad_free_loyalists|tvod_to_svod_converters,ad_supported,126,0.0877,4.67,108.0,19.95
at_risk_lapsers|ad_free_loyalists|content_triggered_buyers,ad_supported,127,0.0865,5.98,105.2,15.31
at_risk_lapsers|ad_free_loyalists|deal_responsive_acquirers,ad_supported,153,0.0899,5.27,102.2,17.0
at_risk_lapsers|ad_free_loyalists|value_perception_buyers,ad_supported,156,0.0909,5.22,109.9,18.14
at_risk_lapsers|price_triggered_downgraders|platform_bundled_acquirers,ad_supported,66,0.1641,4.83,28.9,15.91
at_risk_lapsers|price_triggered_downgraders|tvod_to_svod_converters,ad_supported,48,0.1708,4.67,30.9,17.43
at_risk_lapsers|price_triggered_downgraders|content_triggered_buyers,ad_supported,67,0.1634,5.49,28.7,16.97
at_risk_lapsers|price_triggered_downgraders|deal_responsive_acquirers,ad_supported,69,0.163,5.44,33.8,19.49
at_risk_lapsers|price_triggered_downgraders|value_perception_buyers,ad_supported,87,0.1787,5.38,29.4,16.71
at_risk_lapsers|tvod_inclined_buyers|platform_bundled_acquirers,ad_supported,85,0.1232,6.15,52.8,17.24
at_risk_lapsers|tvod_inclined_buyers|tvod_to_svod_converters,ad_supported,59,0.1153,5.16,53.2,18.07
at_risk_lapsers|tvod_inclined_buyers|content_triggered_buyers,ad_supported,71,0.1228,5.93,54.5,19.25
at_risk_lapsers|tvod_inclined_buyers|deal_responsive_acquirers,ad_supported,86,0.1109,5.98,50.3,19.32
at_risk_lapsers|tvod_inclined_buyers|value_perception_buyers,ad_supported,62,0.1136,6.26,58.1,20.32
promo_only_users|ad_value_seekers|platform_bundled_acquirers,ad_supported,176,0.1971,4.67,25.6,26.42
promo_only_users|ad_value_seekers|tvod_to_svod_converters,ad_supported,168,0.1903,5.60,28.6,30.34
promo_only_users|ad_value_seekers|content_triggered_buyers,ad_supported,121,0.1722,5.05,26.6,33.26
promo_only_users|ad_value_seekers|deal_responsive_acquirers,ad_supported,228,0.1801,5.38,28.6,31.32
promo_only_users|ad_value_seekers|value_perception_buyers,ad_supported,123,0.1836,5.54,29.3,32.29
promo_only_users|ad_tolerant_upgraders|platform_bundled_acquirers,ad_supported,142,0.132,5.49,44.5,28.3
promo_only_users|ad_tolerant_upgraders|tvod_to_svod_converters,ad_supported,124,0.1252,4.67,48.5,28.31
promo_only_users|ad_tolerant_upgraders|content_triggered_buyers,ad_supported,125,0.1363,5.93,43.4,31.54
promo_only_users|ad_tolerant_upgraders|deal_responsive_acquirers,ad_supported,125,0.1263,5.33,43.7,28.41
promo_only_users|ad_tolerant_upgraders|value_perception_buyers,ad_supported,143,0.1265,5.27,41.2,28.87
promo_only_users|ad_free_loyalists|platform_bundled_acquirers,ad_supported,156,0.0838,4.94,109.1,31.81
promo_only_users|ad_free_loyalists|tvod_to_svod_converters,ad_supported,141,0.0869,5.05,92.6,27.08
promo_only_users|ad_free_loyalists|content_triggered_buyers,ad_supported,131,0.0878,6.04,100.3,26.46
promo_only_users|ad_free_loyalists|deal_responsive_acquirers,ad_supported,197,0.0863,4.89,105.0,27.45
promo_only_users|ad_free_loyalists|value_perception_buyers,ad_supported,133,0.0903,5.38,108.3,32.32
promo_only_users|price_triggered_downgraders|platform_bundled_acquirers,ad_supported,126,0.1711,5.93,29.4,32.0
promo_only_users|price_triggered_downgraders|tvod_to_svod_converters,ad_supported,72,0.1741,6.26,31.7,26.53
promo_only_users|price_triggered_downgraders|content_triggered_buyers,ad_supported,57,0.1623,5.00,31.6,33.85
promo_only_users|price_triggered_downgraders|deal_responsive_acquirers,ad_supported,125,0.1674,5.16,28.1,32.1
promo_only_users|price_triggered_downgraders|value_perception_buyers,ad_supported,112,0.1781,5.27,28.3,28.74
promo_only_users|tvod_inclined_buyers|platform_bundled_acquirers,ad_supported,135,0.1199,6.15,60.6,34.05
promo_only_users|tvod_inclined_buyers|tvod_to_svod_converters,ad_supported,104,0.1199,6.26,58.3,31.11
promo_only_users|tvod_inclined_buyers|content_triggered_buyers,ad_supported,115,0.1113,5.71,55.2,32.64
promo_only_users|tvod_inclined_buyers|deal_responsive_acquirers,ad_supported,125,0.1158,5.00,51.4,32.0
promo_only_users|tvod_inclined_buyers|value_perception_buyers,ad_supported,109,0.1126,4.78,53.1,28.44
dormant_subscribers|ad_value_seekers|platform_bundled_acquirers,ad_supported,114,0.1946,5.33,29.8,22.23
dormant_subscribers|ad_value_seekers|tvod_to_svod_converters,ad_supported,60,0.1839,4.94,26.5,19.66
dormant_subscribers|ad_value_seekers|content_triggered_buyers,ad_supported,88,0.1761,5.65,26.6,22.33
dormant_subscribers|ad_value_seekers|deal_responsive_acquirers,ad_supported,63,0.1745,5.82,26.0,21.0
dormant_subscribers|ad_value_seekers|value_perception_buyers,ad_supported,97,0.1746,5.22,25.8,21.62
dormant_subscribers|ad_tolerant_upgraders|platform_bundled_acquirers,ad_supported,62,0.1333,5.60,47.7,23.53
dormant_subscribers|ad_tolerant_upgraders|tvod_to_svod_converters,ad_supported,40,0.1383,5.16,43.3,23.08
dormant_subscribers|ad_tolerant_upgraders|content_triggered_buyers,ad_supported,65,0.1352,5.65,44.1,23.06
dormant_subscribers|ad_tolerant_upgraders|deal_responsive_acquirers,ad_supported,64,0.1382,4.83,49.1,22.42
dormant_subscribers|ad_tolerant_upgraders|value_perception_buyers,ad_supported,58,0.1327,5.82,43.5,19.17
dormant_subscribers|ad_free_loyalists|platform_bundled_acquirers,ad_supported,117,0.088,4.78,103.2,21.72
dormant_subscribers|ad_free_loyalists|tvod_to_svod_converters,ad_supported,72,0.0878,6.20,98.8,24.4
dormant_subscribers|ad_free_loyalists|content_triggered_buyers,ad_supported,81,0.0859,5.71,93.3,25.68
dormant_subscribers|ad_free_loyalists|deal_responsive_acquirers,ad_supported,66,0.0877,5.38,106.9,24.09
dormant_subscribers|ad_free_loyalists|value_perception_buyers,ad_supported,70,0.0885,5.98,93.2,19.36
dormant_subscribers|price_triggered_downgraders|platform_bundled_acquirers,ad_supported,51,0.1614,5.33,28.6,22.65
dormant_subscribers|price_triggered_downgraders|tvod_to_svod_converters,ad_supported,46,0.1757,6.26,30.0,20.34
dormant_subscribers|price_triggered_downgraders|content_triggered_buyers,ad_supported,51,0.18,5.11,32.3,24.62
dormant_subscribers|price_triggered_downgraders|deal_responsive_acquirers,ad_supported,35,0.1807,6.15,30.8,25.8
dormant_subscribers|price_triggered_downgraders|value_perception_buyers,ad_supported,37,0.1696,5.49,34.3,23.03
dormant_subscribers|tvod_inclined_buyers|platform_bundled_acquirers,ad_supported,68,0.1179,4.94,51.2,24.35
dormant_subscribers|tvod_inclined_buyers|tvod_to_svod_converters,ad_supported,43,0.1173,5.82,58.5,20.4
dormant_subscribers|tvod_inclined_buyers|content_triggered_buyers,ad_supported,40,0.1181,5.27,60.6,20.98
